food_name,data_type
Abalone,Survey (FNDDS)
"Abiyuch, raw",SR Legacy
"Acerola juice, raw",SR Legacy
"Acerola, (west indian cherry), raw",SR Legacy
Acorn stew (Apache),SR Legacy
"Adobo, with noodles",Survey (FNDDS)
"Adobo, with rice",Survey (FNDDS)
Agave liquid sweetener,Survey (FNDDS)
"Agave, cooked (Southwest)",SR Legacy
"Agave, dried (Southwest)",SR Legacy
"Agave, raw (Southwest)",SR Legacy
"Agutuk, fish with shortening (Alaskan ice cream) (Alaska Native)",SR Legacy
"Agutuk, fish/berry with seal oil (Alaskan ice cream) (Alaska Native)",SR Legacy
"Agutuk, meat-caribou (Alaskan ice cream) (Alaska Native)",SR Legacy
"Alcoholic beverage, beer, light",SR Legacy
"Alcoholic beverage, beer, light, BUD LIGHT",SR Legacy
"Alcoholic beverage, beer, light, BUDWEISER SELECT",SR Legacy
"Alcoholic beverage, beer, light, higher alcohol",SR Legacy
"Alcoholic beverage, beer, light, low carb",SR Legacy
"Alcoholic beverage, beer, regular, all",SR Legacy
"Alcoholic beverage, beer, regular, BUDWEISER",SR Legacy
"Alcoholic beverage, creme de menthe, 72 proof",SR Legacy
"Alcoholic beverage, daiquiri, canned",SR Legacy
"Alcoholic beverage, daiquiri, prepared-from-recipe",SR Legacy
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof",SR Legacy
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",SR Legacy
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof",SR Legacy
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof",SR Legacy
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 94 proof",SR Legacy
"Alcoholic beverage, distilled, rum, 80 proof",SR Legacy
"Alcoholic beverage, distilled, vodka, 80 proof",SR Legacy
"Alcoholic beverage, distilled, whiskey, 86 proof",SR Legacy
"Alcoholic beverage, liqueur, coffee with cream, 34 proof",SR Legacy
"Alcoholic beverage, liqueur, coffee, 53 proof",SR Legacy
"Alcoholic beverage, liqueur, coffee, 63 proof",SR Legacy
"Alcoholic beverage, malt beer, hard lemonade",SR Legacy
"Alcoholic beverage, pina colada, canned",SR Legacy
"Alcoholic beverage, pina colada, prepared-from-recipe",SR Legacy
"Alcoholic beverage, rice (sake)",SR Legacy
"Alcoholic beverage, tequila sunrise, canned",SR Legacy
"Alcoholic beverage, whiskey sour",SR Legacy
"Alcoholic beverage, whiskey sour, canned",SR Legacy
"Alcoholic beverage, whiskey sour, prepared from item 14028",SR Legacy
"Alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix",SR Legacy
"Alcoholic beverage, wine, cooking",SR Legacy
"Alcoholic beverage, wine, dessert, dry",SR Legacy
"Alcoholic beverage, wine, dessert, sweet",SR Legacy
"Alcoholic beverage, wine, light",SR Legacy
"Alcoholic beverage, wine, table, all",SR Legacy
"Alcoholic beverage, wine, table, red",SR Legacy
"Alcoholic Beverage, wine, table, red, Barbera",SR Legacy
"Alcoholic Beverage, wine, table, red, Burgundy",SR Legacy
"Alcoholic Beverage, wine, table, red, Cabernet Franc",SR Legacy
"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon",SR Legacy
"Alcoholic Beverage, wine, table, red, Carignane",SR Legacy
"Alcoholic Beverage, wine, table, red, Claret",SR Legacy
"Alcoholic Beverage, wine, table, red, Gamay",SR Legacy
"Alcoholic Beverage, wine, table, red, Lemberger",SR Legacy
"Alcoholic Beverage, wine, table, red, Merlot",SR Legacy
"Alcoholic Beverage, wine, table, red, Mouvedre",SR Legacy
"Alcoholic Beverage, wine, table, red, Petite Sirah",SR Legacy
"Alcoholic Beverage, wine, table, red, Pinot Noir",SR Legacy
"Alcoholic Beverage, wine, table, red, Sangiovese",SR Legacy
"Alcoholic Beverage, wine, table, red, Syrah",SR Legacy
"Alcoholic Beverage, wine, table, red, Zinfandel",SR Legacy
"Alcoholic beverage, wine, table, white",SR Legacy
"Alcoholic beverage, wine, table, white, Chardonnay",SR Legacy
"Alcoholic beverage, wine, table, white, Chenin Blanc",SR Legacy
"Alcoholic beverage, wine, table, white, Fume Blanc",SR Legacy
"Alcoholic beverage, wine, table, white, Gewurztraminer",SR Legacy
"Alcoholic beverage, wine, table, white, late harvest",SR Legacy
"Alcoholic beverage, wine, table, white, late harvest, Gewurztraminer",SR Legacy
"Alcoholic beverage, wine, table, white, Muller Thurgau",SR Legacy
"Alcoholic beverage, wine, table, white, Muscat",SR Legacy
"Alcoholic beverage, wine, table, white, Pinot Blanc",SR Legacy
"Alcoholic beverage, wine, table, white, Pinot Gris (Grigio)",SR Legacy
"Alcoholic beverage, wine, table, white, Riesling",SR Legacy
"Alcoholic beverage, wine, table, white, Sauvignon Blanc",SR Legacy
"Alcoholic beverage, wine, table, white, Semillon",SR Legacy
"Alcoholic beverages, beer, higher alcohol",SR Legacy
"Alcoholic beverages, wine, rose",SR Legacy
Alcoholic coffee drink,Survey (FNDDS)
Alcoholic malt beverage,Survey (FNDDS)
"Alcoholic malt beverage, sweetened",Survey (FNDDS)
"Alfalfa seeds, sprouted, raw",SR Legacy
"Alfalfa sprouts, raw",Survey (FNDDS)
Alfredo sauce,Survey (FNDDS)
Alfredo sauce with added vegetables,Survey (FNDDS)
Alfredo sauce with meat,Survey (FNDDS)
Alfredo sauce with meat and added vegetables,Survey (FNDDS)
Alfredo sauce with poultry,Survey (FNDDS)
Alfredo sauce with poultry and added vegetables,Survey (FNDDS)
Alfredo sauce with seafood,Survey (FNDDS)
Alfredo sauce with seafood and added vegetables,Survey (FNDDS)
Almond butter,Survey (FNDDS)
"Almond butter and jelly sandwich, on wheat bread",Survey (FNDDS)
"Almond butter and jelly sandwich, on white bread",Survey (FNDDS)
"Almond butter sandwich, on wheat bread",Survey (FNDDS)
"Almond butter sandwich, on white bread",Survey (FNDDS)
"Almond butter, creamy",Foundation
"Almond butter, lower sodium",Survey (FNDDS)
Almond chicken,Survey (FNDDS)
"Almond milk, chocolate",Survey (FNDDS)
"Almond milk, NFS",Survey (FNDDS)
"Almond milk, sweetened",Survey (FNDDS)
"Almond milk, unsweetened",Survey (FNDDS)
"Almond milk, unsweetened, plain, refrigerated",Foundation
"Almond milk, unsweetened, plain, shelf stable",Foundation
Almond oil,Survey (FNDDS)
Almond paste,Survey (FNDDS)
"Almonds, chocolate covered candy",Survey (FNDDS)
"Almonds, flavored",Survey (FNDDS)
"Almonds, honey roasted",Survey (FNDDS)
"Almonds, lightly salted",Survey (FNDDS)
"Almonds, NFS",Survey (FNDDS)
"Almonds, salted",Survey (FNDDS)
