name,serving_size,measurement_unit,alanine (G),"alcohol, ethyl (G)",arginine (G),ash (G),aspartic acid (G),betaine (MG),caffeine (MG),"calcium, ca (MG)","carbohydrate, by difference (G)","carotene, alpha (UG)","carotene, beta (UG)",cholesterol (MG),"choline, total (MG)","copper, cu (MG)","cryptoxanthin, beta (UG)",cystine (G),energy (KCAL),energy (kJ),"fatty acids, total monounsaturated (G)","fatty acids, total polyunsaturated (G)","fatty acids, total saturated (G)","fatty acids, total trans (G)","fiber, total dietary (G)","folate, dfe (UG)","folate, food (UG)","folate, total (UG)",folic acid (UG),fructose (G),galactose (G),glucose (G),glutamic acid (G),glycine (G),histidine (G),"iron, fe (MG)",isoleucine (G),lactose (G),leucine (G),lutein + zeaxanthin (UG),lycopene (UG),lysine (G),"magnesium, mg (MG)",maltose (G),"manganese, mn (MG)",methionine (G),mufa 14:1 (G),mufa 15:1 (G),mufa 16:1 (G),mufa 17:1 (G),mufa 18:1 (G),mufa 20:1 (G),mufa 22:1 (G),mufa 24:1 c (G),niacin (MG),pantothenic acid (MG),phenylalanine (G),"phosphorus, p (MG)","potassium, k (MG)",proline (G),protein (G),pufa 18:2 (G),pufa 18:3 (G),pufa 18:4 (G),"pufa 20:2 n-6 c,c (G)",pufa 20:3 (G),pufa 20:4 (G),pufa 20:5 n-3 (epa) (G),pufa 21:5 (G),pufa 22:4 (G),pufa 22:5 n-3 (dpa) (G),pufa 22:6 n-3 (dha) (G),retinol (UG),riboflavin (MG),"selenium, se (UG)",serine (G),sfa 10:0 (G),sfa 12:0 (G),sfa 14:0 (G),sfa 15:0 (G),sfa 16:0 (G),sfa 17:0 (G),sfa 18:0 (G),sfa 20:0 (G),sfa 22:0 (G),sfa 24:0 (G),sfa 4:0 (G),sfa 6:0 (G),sfa 8:0 (G),"sodium, na (MG)",starch (G),sucrose (G),theobromine (MG),thiamin (MG),threonine (G),"tocopherol, beta (MG)","tocopherol, delta (MG)","tocopherol, gamma (MG)","tocotrienol, alpha (MG)","tocotrienol, beta (MG)","tocotrienol, delta (MG)","tocotrienol, gamma (MG)",total lipid (fat) (G),total sugars (G),tryptophan (G),tyrosine (G),valine (G),"vitamin a, iu (IU)","vitamin a, rae (UG)",vitamin b-12 (UG),"vitamin b-12, added (UG)",vitamin b-6 (MG),"vitamin c, total ascorbic acid (MG)",vitamin d (d2 + d3) (UG),"vitamin d (d2 + d3), international units (IU)",vitamin e (alpha-tocopherol) (MG),"vitamin e, added (MG)",vitamin k (dihydrophylloquinone) (UG),vitamin k (menaquinone-4) (UG),vitamin k (phylloquinone) (UG),water (G),"zinc, zn (MG)"
Abalone,100,g,N/A,0,N/A,N/A,N/A,N/A,0,39,7.46,0,0,106,80.7,0.243,0,N/A,177,N/A,2.326,2.116,0.877,N/A,0,5,5,5,0,N/A,N/A,N/A,N/A,N/A,N/A,3.97,N/A,N/A,N/A,0,0,N/A,60,N/A,N/A,N/A,N/A,N/A,0.043,N/A,2.245,0.035,0,N/A,1.77,N/A,N/A,236,310,N/A,21.24,1.768,0.226,0.007,N/A,N/A,0,0.061,N/A,N/A,0.051,0,2,0.118,55.6,N/A,0,0,0.031,N/A,0.624,N/A,0.175,N/A,N/A,N/A,0,0,0,574,N/A,N/A,0,0.201,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.12,0,N/A,N/A,N/A,N/A,2,0.77,0,0.168,2,0,N/A,5.95,0,N/A,N/A,33.8,62.72,1.02
"Abiyuch, raw",100,g,N/A,N/A,N/A,0.9,N/A,N/A,N/A,8.0,17.6,0.0,60.0,N/A,N/A,0.057,N/A,N/A,69.0,290,N/A,N/A,0.014,0.0,5.3,N/A,N/A,N/A,N/A,3.8,0.0,4.5,N/A,N/A,N/A,1.61,N/A,0.0,N/A,N/A,N/A,N/A,24.0,0.2,0.182,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.0,304,N/A,1.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.0,N/A,0.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1,8.55,N/A,N/A,N/A,100,5.0,N/A,N/A,N/A,54.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79.9,0.31
"Acerola juice, raw",100,g,N/A,0.0,N/A,0.2,N/A,N/A,0.0,10.0,4.8,0.0,305,0.0,N/A,0.086,0.0,N/A,23.0,96.0,0.082,0.09,0.068,0.0,0.3,14.0,14.0,14.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.5,N/A,N/A,N/A,17.0,0.0,N/A,12.0,N/A,N/A,N/A,N/A,N/A,0.001,N/A,0.081,0.0,0.0,N/A,0.4,0.205,N/A,9.0,97.0,N/A,0.4,0.046,0.044,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.06,0.1,N/A,0.0,0.0,0.002,N/A,0.048,N/A,0.016,N/A,N/A,N/A,0.0,0.0,0.0,3.0,N/A,N/A,0.0,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3,4.5,N/A,N/A,N/A,509,25.0,0.0,0.0,0.004,1600.0,N/A,N/A,0.18,0.0,N/A,N/A,1.4,94.3,0.1
"Acerola, (west indian cherry), raw",100,g,N/A,0.0,N/A,0.2,N/A,N/A,N/A,12.0,7.69,N/A,N/A,0.0,N/A,0.086,N/A,N/A,32.0,134,0.082,0.09,0.068,0.0,1.1,14.0,14.0,14.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.2,N/A,N/A,N/A,N/A,N/A,N/A,18.0,N/A,N/A,N/A,N/A,N/A,0.001,N/A,0.081,0.0,0.0,N/A,0.4,0.309,N/A,11.0,146,N/A,0.4,0.046,0.044,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.06,0.6,N/A,0.0,0.0,0.002,N/A,0.048,N/A,0.016,N/A,N/A,N/A,0.0,0.0,0.0,7.0,N/A,N/A,N/A,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3,N/A,N/A,N/A,N/A,767,38.0,0.0,N/A,0.009,1680.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91.4,0.1
Acorn stew (Apache),100,g,0.45,N/A,0.47,0.72,0.83,N/A,N/A,14.0,9.22,N/A,N/A,20.0,N/A,0.03,N/A,0.09,95.0,399,1.68,0.297,1.28,N/A,0.7,44.0,18.0,33.0,15.0,0.0,0.0,0.0,1.51,0.42,0.23,1.0,0.35,0.0,0.62,N/A,N/A,0.58,12.0,0.19,0.14,0.16,0.02,0.0,0.11,0.03,1.51,0.01,0.0,0.0,2.14,0.212,0.33,62.0,110,0.46,6.81,0.26,0.01,0.02,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,8.3,0.33,0.0,0.0,0.09,0.01,0.75,0.04,0.39,0.0,0.0,0.0,N/A,N/A,0.0,130,6.57,0.16,N/A,0.175,0.36,0.12,0.05,0.23,0.02,0.0,0.0,0.0,3.47,0.34,0.04,0.25,0.39,0.0,0.0,0.68,0.0,0.055,0.0,N/A,N/A,0.3,0.0,0.0,0.9,0.0,79.8,1.6
"Adobo, with noodles",100,g,N/A,0,N/A,N/A,N/A,N/A,0,15,8.14,0,0,72,57.1,0.085,0,N/A,172,N/A,3.469,0.973,2.479,N/A,0.4,3,3,3,0,N/A,N/A,N/A,N/A,N/A,N/A,0.99,N/A,N/A,N/A,0,0,N/A,18,N/A,N/A,N/A,N/A,N/A,0.353,N/A,3.072,0.04,0,N/A,3.059,N/A,N/A,149,200,N/A,16.89,0.867,0.046,0,N/A,N/A,0.04,0,N/A,N/A,0,0,4,0.204,23.1,N/A,0.004,0.004,0.071,N/A,1.677,N/A,0.697,N/A,N/A,N/A,0,0,0,510,N/A,N/A,0,0.192,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.66,0.03,N/A,N/A,N/A,N/A,4,0.43,0,0.216,0,0.3,N/A,0.2,0,N/A,N/A,0,65.27,2.39
"Adobo, with rice",100,g,N/A,0,N/A,N/A,N/A,N/A,0,18,8.86,0,0,75,59.2,0.096,0,N/A,181,N/A,3.607,1.022,2.58,N/A,0.2,33,4,21,17,N/A,N/A,N/A,N/A,N/A,N/A,1.34,N/A,N/A,N/A,0,0,N/A,21,N/A,N/A,N/A,N/A,N/A,0.366,N/A,3.196,0.041,0,N/A,3.589,N/A,N/A,161,216,N/A,17.69,0.909,0.05,0,N/A,N/A,0.041,0,N/A,N/A,0,0,4,0.213,24.6,N/A,0.005,0.004,0.074,N/A,1.749,N/A,0.722,N/A,N/A,N/A,0,0,0,522,N/A,N/A,0,0.242,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,0.03,N/A,N/A,N/A,N/A,4,0.44,0,0.25,0,0.4,N/A,0.21,0,N/A,N/A,0,63.34,2.54
Agave liquid sweetener,100,g,N/A,0,N/A,N/A,N/A,N/A,0,1,76.37,0,94,0,13.3,0.009,0,N/A,310,N/A,0,0,0,N/A,0.2,30,30,30,0,N/A,N/A,N/A,N/A,N/A,N/A,0.09,N/A,N/A,N/A,0,0,N/A,1,N/A,N/A,N/A,N/A,N/A,0,N/A,0,0,0,N/A,0.689,N/A,N/A,1,4,N/A,0.09,0,0,0,N/A,N/A,0,0,N/A,N/A,0,0,0,0.165,1.7,N/A,0,0,0,N/A,0,N/A,0,N/A,N/A,N/A,0,0,0,4,N/A,N/A,0,0.122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.45,68.03,N/A,N/A,N/A,N/A,8,0,0,0.234,17,0,N/A,0.98,0,N/A,N/A,22.5,22.94,0.01
"Agave, cooked (Southwest)",100,g,N/A,0.0,N/A,1.32,N/A,0.4,0.0,460,32.0,0.0,68.0,0.0,8.8,0.112,0.0,N/A,135,563,N/A,N/A,N/A,N/A,10.6,3.0,3.0,3.0,0.0,17.6,0.0,1.58,N/A,N/A,N/A,3.55,N/A,0.0,N/A,N/A,0.0,N/A,39.0,0.0,0.142,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.162,0.041,N/A,9.0,59.0,N/A,0.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.099,0.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.0,0.24,1.72,0.0,0.012,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,20.9,N/A,N/A,N/A,113,6.0,0.0,0.0,0.087,0.3,0.0,0.0,0.36,0.0,0.0,N/A,4.9,65.4,0.25
"Agave, dried (Southwest)",100,g,N/A,0.0,N/A,3.98,N/A,N/A,0.0,770,82.0,0.0,11.0,0.0,N/A,0.189,0.0,N/A,341,1430.0,N/A,N/A,N/A,N/A,15.6,7.0,7.0,7.0,0.0,42.8,0.0,3.48,N/A,N/A,N/A,3.64,N/A,0.0,N/A,N/A,0.0,N/A,207,0.0,0.337,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.87,0.15,N/A,37.0,767,N/A,1.71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.644,0.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.0,0.91,4.39,0.0,0.021,N/A,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.69,50.7,N/A,N/A,N/A,18.0,1.0,0.0,0.0,0.216,0.3,0.0,0.0,0.76,0.0,0.0,N/A,0.5,11.6,12.1
