id,name,image,url,total_time,ingredients_text
2008,Grilled Peach Bruschetta,https://cdn.pickuplimes.com/cache/aa/9e/aa9effe6fb7bc97beab0b3aeb6975acd.jpg,https://www.pickuplimes.com/recipe/grilled-peach-bruschetta-2008,PT20M,"2 canned peaches
2 cup cherry tomatoes
1 garlic clove
&#189; cup fresh basil
1 Tbsp extra-virgin olive oil
&#8539; tsp salt
&#8539; tsp ground black pepper
1 Tbsp olive oil
4 slice sourdough bread
&#190; cup plain vegan cream cheese"
2919,Green Goddess Salad Dressing,https://cdn.pickuplimes.com/cache/98/ea/98eaca8cbc292ac09c82cee8dfe33d75.jpg,https://www.pickuplimes.com/recipe/green-goddess-salad-dressing-2919,PT05M,"&#8532; cup unsweetened soy yogurt
&#8531; cup vegan mayonnaise
1 lemon
2 garlic clove
&#188; cup fresh chives
&#188; cup fresh parsley
2 Tbsp fresh basil
2 Tbsp fresh dill
1 Tbsp maple syrup
&#189; Tbsp capers
&#189; Tbsp white miso paste
1 pinch salt"
2068,Shallot Dressing,https://cdn.pickuplimes.com/cache/81/d5/81d5061c2bbe7b76bdddf8443526b752.jpg,https://www.pickuplimes.com/recipe/shallot-dressing-2068,PT05M,"1 medium shallot
&#8531; cup extra-virgin olive oil
&#188; cup white wine vinegar
&#188; cup maple syrup
 dijon mustard
&#8539; tsp salt
&#8539; tsp ground black pepper"
1530,Buffalo Pasta Salad,https://cdn.pickuplimes.com/cache/93/5c/935c72c41eec5073d272932c18e137ab.jpg,https://www.pickuplimes.com/recipe/buffalo-pasta-salad-1530,PT30M,"2&#189; cup dry orecchiette pasta
2 carrot
2 celery rib
&#189; small red onion
1 cup cherry tomatoes
&#188; cup chopped pickles
 olive oil
1&#189; cup cooked butter beans
&#189; cup vegan mayonnaise
&#189; cup unsweetened soy yogurt
&#8531; cup cayenne pepper hot sauce
1&#189; Tbsp ranch spice mix"
2361,Eggplant Pesto Orzo,https://cdn.pickuplimes.com/cache/e0/08/e008d4a6737beb446aac1a83e46c6176.jpg,https://www.pickuplimes.com/recipe/eggplant-orzo-2361,PT30M,"1 cup dry orzo pasta
&#189; Tbsp vegetable oil
1 medium onion
&#188; cup tomato paste
&#188; cup vegan red pesto
1 medium eggplant
1&#189; cup cooked cannellini beans
&#190; cup water
&#188; cup soy cooking cream
1 Tbsp nutritional yeast flakes
&#190; tsp salt
&#8539; tsp ground black pepper
1 cup croutons
&#189; Tbsp vegetable oil
 Italian seasoning"
2027,Peanut Granola,https://cdn.pickuplimes.com/cache/56/aa/56aa4ae07ef740cfa77886d9b51acde2.jpg,https://www.pickuplimes.com/recipe/peanut-granola-2027,PT40M,"3 cup rolled oats
&#189; cup roasted unsalted peanuts
&#189; tsp ground cinnamon
&#188; tsp salt
&#8531; cup peanut butter
&#188; cup maple syrup
2 Tbsp refined coconut oil
 pure vanilla extract"
946,Homemade Vegan Mayonnaise,https://cdn.pickuplimes.com/cache/70/aa/70aa5de1f272337f74e930ceedbd2018.jpg,https://www.pickuplimes.com/recipe/homemade-vegan-mayonnaise-946,PT05M,"&#188; cup aquafaba
 fresh lemon juice
 dijon mustard
1 pinch salt
&#190; cup grapeseed oil"
2659,The Best All-Purpose Stir Fry Sauce!,https://cdn.pickuplimes.com/cache/5f/14/5f147f12cc76ed746863a84a035e073f.jpg,https://www.pickuplimes.com/recipe/the-best-all-purpose-stir-fry-sauce-2659,PT05M,"&#189; cup water
&#189; cup sodium-reduced soy sauce
2 Tbsp agave syrup
2 Tbsp rice vinegar
1 Tbsp cornstarch
 toasted sesame oil
 freshly grated ginger
2 garlic clove
1 vegetable bouillon cube"
887,Classic Vanilla Cake,https://cdn.pickuplimes.com/cache/6b/ff/6bff68310768a24c5c0234953a4dbfe3.jpg,https://www.pickuplimes.com/recipe/classic-vegan-vanilla-cake-887,PT50M,"1&#189; cup unsweetened soy milk
1 Tbsp white vinegar
&#190; cup granulated sugar
&#189; cup vegetable oil
 pure vanilla extract
2&#189; cup all-purpose flour
2 Tbsp cornstarch
 baking powder
 baking soda
&#188; tsp salt
1 cup unsalted vegan butter
2 cup powdered sugar
1 Tbsp pure vanilla extract"
682,Baked Donuts,https://cdn.pickuplimes.com/cache/4c/fb/4cfb44ecddb105d61bae5ee1aeca2cac.jpg,https://www.pickuplimes.com/recipe/vegan-baked-donuts-682,PT35M,"2 cup all-purpose flour
 baking powder
&#8532; cup granulated sugar
&#189; tsp salt
1 cup unsweetened soy milk
1.975 oz unsalted vegan butter
2 Tbsp unsweetened applesauce
 pure vanilla extract
&#189; cup powdered sugar
&#189; Tbsp unsweetened soy milk
&#189; tsp pure vanilla extract
 natural pink food colouring
0.988 oz unsalted vegan butter
3 Tbsp granulated sugar
 ground cinnamon"
