id,title,url,total_time,ingredients_text
,Recipes,https://www.pickuplimes.com/recipe/?sb=&public=on,5 min,
,Recipes,https://www.pickuplimes.com/recipe/,1 hr,
299,Chunky Avocado Mango Salsa,https://www.pickuplimes.com/recipe/chunky-avocado-mango-salsa-299,8 min,"1 avocado, chopped
1 mango, chopped
2 medium tomatoes, chopped
¼ cups (4g) fresh cilantro, chopped
½ small onion, minced
½ lime, juiced lemon
baked tortilla chips"
86,Avocado Hummus Toast with Miso Mushroom and Kale Sauté,https://www.pickuplimes.com/recipe/avocado-hummus-toast-with-miso-mushroom-and-kale-saut%C3%A9-86,35 min,"1 avocado
1¼ cups (205g) cooked chickpeas
2 Tbsp (30ml) tahini
1 Tbsp (15ml) olive oil
2 garlic cloves
1 lemon, juiced
1 Tbsp (15ml) olive oil
½ tsp dried chives
½ tsp dried parsley
½ tsp ground cumin
¼ tsp salt
4 small pita breads gluten-free bread vegan naans
½ Tbsp (8ml) olive oil
9.2 oz (260g) cremini mushrooms, sliced button mushrooms
2 garlic cloves, minced
3 cups (75g) kale, chopped fresh spinach
1 tsp (2.3g) onion powder
1 tsp (6g) miso paste
1 tsp (5ml) boiling water
1 bell pepper, thinly sliced
flaked sea salt
sliced green onion"
784,Avocado Toast with Chipotle Bean Spread,https://www.pickuplimes.com/recipe/avocado-toast-with-chipotle-bean-spread-784,17 min,"1½ cups (250g) cooked cannellini beans cooked chickpeas cooked butter beans
1½ Tbsp (22ml) chipotle adobo sauce, plus more to taste
1 Tbsp (2.6g) nutritional yeast flakes
1 tsp (5ml) maple syrup agave syrup
½ tsp onion powder
½ tsp garlic powder
½ tsp salt
¼ tsp ground black pepper
1 tsp (5ml) olive oil
4 slices multigrain bread gluten-free bread
1 tsp (5ml) olive oil
1 cup (165g) canned corn, drained, rinsed
1 avocado, sliced
1 stalk green onion, thinly sliced
chili flakes
toasted black sesame seeds"
80,Creamy Avocado Dip,https://www.pickuplimes.com/recipe/creamy-avocado-dip-80,5 min,"1 avocado, peeled, pitted
1 garlic clove
¼ cups (65g) unsweetened soy yogurt† vegan mayonnaise any unsweetened plant-based yogurt of choice
½ lime, juiced lemon apple cider vinegar
¼ tsp salt
1 pinch ground black pepper"
257,Mushroom & Lentil Tacos with Garlic Avocado Cream,https://www.pickuplimes.com/recipe/mushroom-lentil-tacos-with-a-creamy-avocado-sauce-257,30 min,"2 tsp (10ml) vegetable oil
1 medium onion, sliced
2 garlic cloves, crushed
12 oz (350g) button mushrooms, coarsely chopped cremini mushrooms oyster mushrooms
1½ tsp (4g) Cajun seasoning Mexican seasoning
1 tsp (2g) ground cumin
1 tsp (2.3g) paprika powder
¼ tsp cayenne pepper (optional) chili powder
¼ tsp salt
¼ tsp ground black pepper
2 cups (360g) cooked brown lentils veggie ground cooked green lentils
2 Tbsp (30ml) chipotle adobo sauce† ketchup
1 avocado
1 lime, juiced lemon
2 garlic cloves
2 Tbsp (30ml) unsweetened soy milk any unsweetened plant-based milk of choice unsweetened soy yogurt
1 tsp (2g) ground cumin
¼ tsp salt
9 small soft tortillas small corn tortillas
1 cup (70g) shredded red cabbage carrots head iceberg lettuce shredded green cabbage romaine lettuce
1 cup (150g) cherry tomatoes, quartered canned corn red bell peppers cooked black beans
4 small raw radishes, sliced (optional)
fresh cilantro
lime slice"
87,Avocado Hummus,https://www.pickuplimes.com/recipe/avocado-hummus-87,5 min,"1 avocado
1¼ cups (205g) cooked chickpeas
2 Tbsp (30ml) tahini
1 Tbsp (15ml) olive oil
2 garlic cloves
½ lemon, juiced
¼ tsp salt (optional)
toasted sesame seeds
chili flakes"
318,Cardamom Avocado & Blueberry Smoothie,https://www.pickuplimes.com/recipe/cardamom-avocado-blueberry-smoothie-318,5 min,"½ avocado
1 frozen banana
1 cup (240ml) unsweetened oat milk† any unsweetened plant-based milk of choice
½ cups (130g) unsweetened soy yogurt any unsweetened plant-based yogurt of choice
1 cup (150g) frozen blueberries†
½ cups (75g) frozen pineapple chunks
2 cardamom pods, seeds only (optional)
½ tsp pure vanilla extract
½ tsp ground cinnamon
unsweetened shredded coconut
hemp seeds"
221,Avocado Garlic Cream,https://www.pickuplimes.com/recipe/avocado-garlic-cream-221,5 min,"2 avocados
2 garlic cloves
2 tsp (10ml) sriracha sambal oelek cayenne pepper hot sauce
¼ tsp onion powder (optional)
1 lime, juiced lemon
1 pinch salt (optional)"
